2022-03-16 13:01:21,101 {'vecid': 242606374551181, 'locationx': 0, 'locationy': 0, 'velocityx': 0, 'velocityy': 0, 'acceleration': 0.0, 'stop': 0, 'angle': 0}
2022-03-16 13:02:13,635 {'vecid': 242606374551181, 'locationx': 22.001231666666666, 'locationy': 39.638526666666664, 'velocityx': -9.276300000000003, 'velocityy': 9.57207833333333, 'acceleration': 13.329457052313474, 'stop': 0, 'angle': 135.89904070239217}
2022-03-16 13:02:16,635 {'vecid': 242606374551181, 'locationx': 22.0072, 'locationy': 39.631391666666666, 'velocityx': 0.005968333333335352, 'velocityy': -0.007134999999998115, 'acceleration': 0.009302108781226705, 'stop': 0, 'angle': 140.08796305928405}
2022-03-16 13:02:16,635 {'vecid': 242606374551181, 'locationx': 22.0072, 'locationy': 39.631391666666666, 'velocityx': 0.005968333333335352, 'velocityy': -0.007134999999998115, 'acceleration': 0.009302108781226705, 'stop': 0, 'angle': 140.08796305928405}
2022-03-16 13:02:19,635 {'vecid': 242606374551181, 'locationx': 22.01361, 'locationy': 39.62392, 'velocityx': 0.0064099999999989166, 'velocityy': -0.007471666666667431, 'acceleration': 0.00984448590723636, 'stop': 0, 'angle': 139.37345426479837}
2022-03-16 13:02:19,636 {'vecid': 242606374551181, 'locationx': 22.01361, 'locationy': 39.62392, 'velocityx': 0.0064099999999989166, 'velocityy': -0.007471666666667431, 'acceleration': 0.00984448590723636, 'stop': 0, 'angle': 139.37345426479837}
2022-03-16 13:02:22,637 {'vecid': 242606374551181, 'locationx': 22.019903333333332, 'locationy': 39.616545, 'velocityx': 0.00629333333333193, 'velocityy': -0.007374999999996135, 'acceleration': 0.009695187953019258, 'stop': 0, 'angle': 139.52476847282566}
2022-03-16 13:02:22,638 {'vecid': 242606374551181, 'locationx': 22.019903333333332, 'locationy': 39.616545, 'velocityx': 0.00629333333333193, 'velocityy': -0.007374999999996135, 'acceleration': 0.009695187953019258, 'stop': 0, 'angle': 139.52476847282566}
2022-03-16 13:02:25,639 {'vecid': 242606374551181, 'locationx': 22.026243333333333, 'locationy': 39.60912666666667, 'velocityx': 0.006340000000001567, 'velocityy': -0.007418333333333749, 'acceleration': 0.009758446056850983, 'stop': 0, 'angle': 139.4814949974887}
2022-03-16 13:02:25,640 {'vecid': 242606374551181, 'locationx': 22.026243333333333, 'locationy': 39.60912666666667, 'velocityx': 0.006340000000001567, 'velocityy': -0.007418333333333749, 'acceleration': 0.009758446056850983, 'stop': 0, 'angle': 139.4814949974887}
2022-03-16 13:02:28,646 {'vecid': 242606374551181, 'locationx': 22.03273666666667, 'locationy': 39.60164, 'velocityx': 0.006493333333335016, 'velocityy': -0.007486666666665087, 'acceleration': 0.009910275251250782, 'stop': 0, 'angle': 139.06425732134335}
2022-03-16 13:02:28,646 {'vecid': 242606374551181, 'locationx': 22.03273666666667, 'locationy': 39.60164, 'velocityx': 0.006493333333335016, 'velocityy': -0.007486666666665087, 'acceleration': 0.009910275251250782, 'stop': 0, 'angle': 139.06425732134335}
2022-03-16 13:02:31,633 {'vecid': 242606374551181, 'locationx': 40.52482833333333, 'locationy': 29.22792, 'velocityx': 18.492091666666663, 'velocityy': -10.373720000000002, 'acceleration': 21.203101679867565, 'stop': 0, 'angle': 119.29161575962186}
2022-03-16 13:02:31,634 {'vecid': 242606374551181, 'locationx': 40.52482833333333, 'locationy': 29.22792, 'velocityx': 18.492091666666663, 'velocityy': -10.373720000000002, 'acceleration': 21.203101679867565, 'stop': 0, 'angle': 119.29161575962186}
2022-03-16 13:02:34,616 {'vecid': 242606374551181, 'locationx': 31.259753333333332, 'locationy': 30.078953333333335, 'velocityx': -9.265075, 'velocityy': 0.8510333333333335, 'acceleration': 9.304078271922988, 'stop': 0, 'angle': 95.24811454702719}
2022-03-16 13:02:34,616 {'vecid': 242606374551181, 'locationx': 31.259753333333332, 'locationy': 30.078953333333335, 'velocityx': -9.265075, 'velocityy': 0.8510333333333335, 'acceleration': 9.304078271922988, 'stop': 0, 'angle': 95.24811454702719}
2022-03-16 13:02:37,620 {'vecid': 242606374551181, 'locationx': 31.243848333333332, 'locationy': 30.089715, 'velocityx': -0.015905000000000058, 'velocityy': 0.010761666666667224, 'acceleration': 0.019203710434300404, 'stop': 0, 'angle': 124.08313112252915}
2022-03-16 13:02:37,620 {'vecid': 242606374551181, 'locationx': 31.243848333333332, 'locationy': 30.089715, 'velocityx': -0.015905000000000058, 'velocityy': 0.010761666666667224, 'acceleration': 0.019203710434300404, 'stop': 0, 'angle': 124.08313112252915}
2022-03-16 13:02:40,619 {'vecid': 242606374551181, 'locationx': 31.278045, 'locationy': 30.067213333333335, 'velocityx': 0.03419666666666643, 'velocityy': -0.022501666666666864, 'acceleration': 0.040935766926843836, 'stop': 0, 'angle': 123.34522040409396}
2022-03-16 13:02:40,620 {'vecid': 242606374551181, 'locationx': 31.278045, 'locationy': 30.067213333333335, 'velocityx': 0.03419666666666643, 'velocityy': -0.022501666666666864, 'acceleration': 0.040935766926843836, 'stop': 0, 'angle': 123.34522040409396}
2022-03-16 13:02:43,628 {'vecid': 242606374551181, 'locationx': 31.273183333333332, 'locationy': 30.067361666666667, 'velocityx': -0.004861666666666764, 'velocityy': 0.0001483333333318626, 'acceleration': 0.004863929024518765, 'stop': 0, 'angle': 91.74759784862877}
2022-03-16 13:02:43,629 {'vecid': 242606374551181, 'locationx': 31.273183333333332, 'locationy': 30.067361666666667, 'velocityx': -0.004861666666666764, 'velocityy': 0.0001483333333318626, 'acceleration': 0.004863929024518765, 'stop': 0, 'angle': 91.74759784862877}
2022-03-16 13:02:46,633 {'vecid': 242606374551181, 'locationx': 31.273208333333333, 'locationy': 30.067273333333333, 'velocityx': 2.5000000000829914e-05, 'velocityy': -8.833333333413407e-05, 'acceleration': 9.180292902713255e-05, 'stop': 0, 'angle': 164.1974860457022}
2022-03-16 13:02:46,633 {'vecid': 242606374551181, 'locationx': 31.273208333333333, 'locationy': 30.067273333333333, 'velocityx': 2.5000000000829914e-05, 'velocityy': -8.833333333413407e-05, 'acceleration': 9.180292902713255e-05, 'stop': 0, 'angle': 164.1974860457022}
2022-03-16 13:02:48,777 {'vecid': 242606374551181, 'locationx': 31.278753333333334, 'locationy': 30.066166666666668, 'velocityx': 0.005545000000001465, 'velocityy': -0.0011066666666650349, 'acceleration': 0.005654355499181472, 'stop': 0, 'angle': 101.28674787172922}
2022-03-16 13:02:48,778 {'vecid': 242606374551181, 'locationx': 31.278753333333334, 'locationy': 30.066166666666668, 'velocityx': 0.005545000000001465, 'velocityy': -0.0011066666666650349, 'acceleration': 0.005654355499181472, 'stop': 0, 'angle': 101.28674787172922}
2022-03-16 13:02:51,773 {'vecid': 242606374551181, 'locationx': 31.27872, 'locationy': 30.066143333333333, 'velocityx': -3.3333333334439885e-05, 'velocityy': -2.3333333334818462e-05, 'acceleration': 4.068851872087053e-05, 'stop': 0, 'angle': 55.007979800621655}
2022-03-16 13:02:51,773 {'vecid': 242606374551181, 'locationx': 31.27872, 'locationy': 30.066143333333333, 'velocityx': -3.3333333334439885e-05, 'velocityy': -2.3333333334818462e-05, 'acceleration': 4.068851872087053e-05, 'stop': 0, 'angle': 55.007979800621655}
2022-03-16 13:02:54,793 {'vecid': 242606374551181, 'locationx': 31.278703333333333, 'locationy': 30.066131666666667, 'velocityx': -1.6666666667219943e-05, 'velocityy': -1.1666666665632874e-05, 'acceleration': 2.0344259359416594e-05, 'stop': 0, 'angle': 55.00797980472009}
2022-03-16 13:02:54,793 {'vecid': 242606374551181, 'locationx': 31.278703333333333, 'locationy': 30.066131666666667, 'velocityx': -1.6666666667219943e-05, 'velocityy': -1.1666666665632874e-05, 'acceleration': 2.0344259359416594e-05, 'stop': 0, 'angle': 55.00797980472009}
2022-03-16 13:02:57,677 {'vecid': 242606374551181, 'locationx': 31.278695, 'locationy': 30.066145, 'velocityx': -8.333333333609971e-06, 'velocityy': 1.3333333331644326e-05, 'acceleration': 1.572330188547535e-05, 'stop': 0, 'angle': 147.99461678779966}
2022-03-16 13:02:57,678 {'vecid': 242606374551181, 'locationx': 31.278695, 'locationy': 30.066145, 'velocityx': -8.333333333609971e-06, 'velocityy': 1.3333333331644326e-05, 'acceleration': 1.572330188547535e-05, 'stop': 0, 'angle': 147.99461678779966}
2022-03-16 13:02:59,767 {'vecid': 242606374551181, 'locationx': 31.278681666666667, 'locationy': 30.066153333333332, 'velocityx': -1.3333333331644326e-05, 'velocityy': 8.333333333609971e-06, 'acceleration': 1.572330188547535e-05, 'stop': 0, 'angle': 122.00538321220034}
2022-03-16 13:02:59,768 {'vecid': 242606374551181, 'locationx': 31.278681666666667, 'locationy': 30.066153333333332, 'velocityx': -1.3333333331644326e-05, 'velocityy': 8.333333333609971e-06, 'acceleration': 1.572330188547535e-05, 'stop': 0, 'angle': 122.00538321220034}
2022-03-16 13:03:02,764 {'vecid': 242606374551181, 'locationx': 31.278631666666666, 'locationy': 30.066113333333334, 'velocityx': -5.000000000165983e-05, 'velocityy': -3.999999999848569e-05, 'acceleration': 6.403124237467862e-05, 'stop': 0, 'angle': 51.340191747895815}
2022-03-16 13:03:02,765 {'vecid': 242606374551181, 'locationx': 31.278631666666666, 'locationy': 30.066113333333334, 'velocityx': -5.000000000165983e-05, 'velocityy': -3.999999999848569e-05, 'acceleration': 6.403124237467862e-05, 'stop': 0, 'angle': 51.340191747895815}
2022-03-16 13:03:05,770 {'vecid': 242606374551181, 'locationx': 31.278535, 'locationy': 30.066, 'velocityx': -9.666666666419133e-05, 'velocityy': -0.00011333333333496398, 'acceleration': 0.00014895935314299648, 'stop': 0, 'angle': 40.462227490961915}
2022-03-16 13:03:05,771 {'vecid': 242606374551181, 'locationx': 31.278535, 'locationy': 30.066, 'velocityx': -9.666666666419133e-05, 'velocityy': -0.00011333333333496398, 'acceleration': 0.00014895935314299648, 'stop': 0, 'angle': 40.462227490961915}
2022-03-16 13:03:08,776 {'vecid': 242606374551181, 'locationx': 31.278348333333334, 'locationy': 30.065861666666667, 'velocityx': -0.00018666666666788956, 'velocityy': -0.00013833333333224118, 'acceleration': 0.0002323371592227768, 'stop': 0, 'angle': 53.4589124005665}
2022-03-16 13:03:08,777 {'vecid': 242606374551181, 'locationx': 31.278348333333334, 'locationy': 30.065861666666667, 'velocityx': -0.00018666666666788956, 'velocityy': -0.00013833333333224118, 'acceleration': 0.0002323371592227768, 'stop': 0, 'angle': 53.4589124005665}
2022-03-16 13:03:11,777 {'vecid': 242606374551181, 'locationx': 31.27825, 'locationy': 30.06577, 'velocityx': -9.833333333375549e-05, 'velocityy': -9.166666666615697e-05, 'acceleration': 0.0001344329655337998, 'stop': 0, 'angle': 47.009553813302716}
2022-03-16 13:03:11,778 {'vecid': 242606374551181, 'locationx': 31.27825, 'locationy': 30.06577, 'velocityx': -9.833333333375549e-05, 'velocityy': -9.166666666615697e-05, 'acceleration': 0.0001344329655337998, 'stop': 0, 'angle': 47.009553813302716}
2022-03-16 13:03:14,765 {'vecid': 242606374551181, 'locationx': 31.278201666666668, 'locationy': 30.065743333333334, 'velocityx': -4.833333333209566e-05, 'velocityy': -2.6666666666841365e-05, 'acceleration': 5.520165053793137e-05, 'stop': 0, 'angle': 61.113418232309954}
2022-03-16 13:03:14,766 {'vecid': 242606374551181, 'locationx': 31.278201666666668, 'locationy': 30.065743333333334, 'velocityx': -4.833333333209566e-05, 'velocityy': -2.6666666666841365e-05, 'acceleration': 5.520165053793137e-05, 'stop': 0, 'angle': 61.113418232309954}
2022-03-16 13:03:17,683 {'vecid': 242606374551181, 'locationx': 31.27816, 'locationy': 30.065721666666665, 'velocityx': -4.1666666668049857e-05, 'velocityy': -2.166666666880701e-05, 'acceleration': 4.696334268089921e-05, 'stop': 0, 'angle': 62.525568372184665}
2022-03-16 13:03:17,684 {'vecid': 242606374551181, 'locationx': 31.27816, 'locationy': 30.065721666666665, 'velocityx': -4.1666666668049857e-05, 'velocityy': -2.166666666880701e-05, 'acceleration': 4.696334268089921e-05, 'stop': 0, 'angle': 62.525568372184665}
2022-03-16 13:03:19,781 {'vecid': 242606374551181, 'locationx': 31.278155, 'locationy': 30.065711666666665, 'velocityx': -4.9999999980343546e-06, 'velocityy': -9.999999999621423e-06, 'acceleration': 1.1180339886281276e-05, 'stop': 0, 'angle': 26.565051168935774}
2022-03-16 13:03:19,781 {'vecid': 242606374551181, 'locationx': 31.278155, 'locationy': 30.065711666666665, 'velocityx': -4.9999999980343546e-06, 'velocityy': -9.999999999621423e-06, 'acceleration': 1.1180339886281276e-05, 'stop': 0, 'angle': 26.565051168935774}
2022-03-16 13:03:22,782 {'vecid': 242606374551181, 'locationx': 31.27812, 'locationy': 30.06569, 'velocityx': -3.500000000045134e-05, 'velocityy': -2.1666666665254297e-05, 'acceleration': 4.116363011706858e-05, 'stop': 0, 'angle': 58.24051991718939}
2022-03-16 13:03:22,783 {'vecid': 242606374551181, 'locationx': 31.27812, 'locationy': 30.06569, 'velocityx': -3.500000000045134e-05, 'velocityy': -2.1666666665254297e-05, 'acceleration': 4.116363011706858e-05, 'stop': 0, 'angle': 58.24051991718939}
2022-03-16 13:03:25,786 {'vecid': 242606374551181, 'locationx': 31.278103333333334, 'locationy': 30.065655, 'velocityx': -1.6666666667219943e-05, 'velocityy': -3.500000000045134e-05, 'acceleration': 3.8765677832688726e-05, 'stop': 0, 'angle': 25.46334506232313}
2022-03-16 13:03:25,786 {'vecid': 242606374551181, 'locationx': 31.278103333333334, 'locationy': 30.065655, 'velocityx': -1.6666666667219943e-05, 'velocityy': -3.500000000045134e-05, 'acceleration': 3.8765677832688726e-05, 'stop': 0, 'angle': 25.46334506232313}
